# Source: https://github.com/bahar/WorldCityLocations
Saint Paul, United States	44.9444101 -93.0932770
Lexington-Fayette, United States	38.0497996 -84.4585495
Anchorage, United States	61.2180556 -149.9002838
Plano, United States	33.0198431 -96.6988831
Saint Petersburg, United States	27.7708606 -82.6792679
Louisville, United States	38.2542376 -85.7594070
Lincoln, United States	40.8000011 -96.6669617
Glendale, United States	33.5386523 -112.1859894
Henderson, United States	36.0396988 -114.9819336
Jersey City, United States	40.7281575 -74.0776443
Norfolk, United States	36.8468146 -76.2852173
Chandler, United States	33.3061605 -111.8412476
Greensboro, United States	36.0726355 -79.7919769
Birmingham, United States	33.5206608 -86.8024902
Fort Wayne, United States	41.1306041 -85.1288605
Lexington, United States	37.9886892 -84.4777145
Hialeah, United States	25.8575963 -80.2781067
Madison, United States	43.0730517 -89.4012299
Baton Rouge, United States	30.4507462 -91.1545486
Garland, United States	32.9126240 -96.6388855
Modesto, United States	37.6390972 -120.9968796
Paradise, United States	36.0971945 -115.1466675
Chula Vista, United States	32.6400541 -117.0841980
Lubbock, United States	33.5778631 -101.8551636
Rochester, United States	43.1547845 -77.6155548
Laredo, United States	27.5064070 -99.5075455
Akron, United States	41.0814447 -81.5190048
Orlando, United States	28.5383355 -81.3792343
Durham, United States	35.9940329 -78.8986206
North Glendale, United States	34.1605626 -118.2645187
Scottsdale, United States	33.5092103 -111.8990326
Andorra la Vella, Andorra	42.5051514 1.5150619
les Escaldes, Andorra	42.5072870 1.5341377
Encamp, Andorra	42.5333333 1.5833333
Sant Julia de Loria, Andorra	42.4637237 1.4912868
la Massana, Andorra	42.5449867 1.5148258
Canillo, Andorra	42.5666667 1.6000000
Pas de la Casa, Andorra	42.5427734 1.7336082
Luanda, Angola	-8.8383333 13.2344446
Huambo, Angola	-12.7761111 15.7391663
Lobito, Angola	-12.3480556 13.5455561
Benguela, Angola	-12.5783333 13.4072218
Kuito, Angola	-12.3833333 16.9333324
Lubango, Angola	-14.9166667 13.5000000
Malanje, Angola	-9.5447222 16.3452778
